A11,A12,A13,A14,A15,A16,A17,A18,A21,A22,A23,A24,A31,A32,A41,B11,B12,B13,B14,B15,B16,B17,B18,B21,B22,B23,B24,B31,B32,B41,C11,C12,C13,C14,C15,C16,C17,C18,C21,C22,C23,C24,C31,C32,C41,D11,D12,D13,D14,D15,D16,D17,D18,D21,D22,D23,D24,D31,D32,D41,E51,E52,E69
1,4,6,8,10,11,14,15,1,6,11,14,1,11,1,17,19,21,24,26,28,29,31,17,21,28,29,21,28,21,33,35,37,39,41,44,46,48,33,37,44,48,33,44,33,50,51,53,55,57,59,61,63,50,53,59,63,50,63,63,1,63,1
1,3,6,8,9,11,14,15,1,6,11,15,6,15,15,17,20,21,23,26,28,29,31,17,23,26,29,17,29,17,33,35,38,39,41,44,45,47,33,38,41,47,33,41,33,49,52,53,56,57,60,62,63,49,53,57,63,49,63,63,15,33,15
1,3,5,8,9,12,13,16,1,5,9,13,1,9,9,17,20,21,24,25,28,30,31,20,21,25,30,21,25,21,33,35,37,40,41,44,46,47,35,40,44,46,35,44,35,49,51,53,56,58,60,62,63,51,53,58,63,51,63,63,21,35,21
1,4,5,7,9,11,13,15,1,5,9,15,1,15,1,17,20,21,23,25,28,29,31,17,21,28,29,21,28,21,33,35,37,39,41,43,46,48,35,37,43,46,35,43,35,49,52,54,56,57,59,61,63,49,56,57,61,49,57,57,1,35,35
2,3,5,7,9,11,13,15,3,5,11,15,3,15,15,17,19,21,23,25,28,29,31,19,21,28,29,21,29,21,33,36,38,39,41,44,45,47,33,38,41,47,38,41,41,49,51,53,56,57,60,62,63,49,56,57,63,49,63,63,15,63,15
1,3,6,7,9,11,13,15,1,7,11,15,1,11,11,17,20,21,23,25,28,30,31,20,21,28,31,20,31,31,33,35,37,40,42,44,45,47,35,40,44,47,35,44,44,49,51,53,56,58,59,61,63,49,56,58,63,49,63,49,11,44,44
1,3,5,7,10,11,13,15,3,5,11,15,5,15,5,17,20,22,24,26,28,30,32,17,22,28,32,17,28,17,33,36,37,39,42,44,46,47,33,37,44,47,33,44,44,49,51,54,55,57,59,61,63,51,55,57,63,51,57,57,5,44,5
1,3,6,7,9,11,13,15,1,7,11,15,1,11,11,17,19,21,24,26,27,29,31,17,21,26,29,21,29,21,33,35,38,40,42,44,46,48,33,40,44,46,33,44,44,49,52,53,56,57,59,62,63,52,53,57,63,53,57,57,21,44,21
1,3,6,8,9,11,13,15,1,6,9,15,1,15,15,17,19,21,24,25,27,29,31,19,21,25,29,21,25,21,33,36,37,40,42,44,45,47,33,37,44,45,33,45,33,49,51,53,56,57,60,62,63,49,53,60,63,53,63,63,21,33,21
1,4,6,7,9,12,13,15,1,6,9,15,6,9,6,17,19,22,23,25,27,30,31,19,22,25,30,19,25,19,33,35,37,39,42,44,46,47,33,39,44,46,33,44,44,49,51,53,55,57,59,61,64,51,53,57,61,51,57,51,6,44,44
1,3,6,7,9,11,14,15,1,7,9,15,1,15,1,17,20,21,23,26,28,30,31,17,23,28,30,17,30,17,33,35,38,39,42,44,46,47,33,39,42,47,33,42,33,49,51,53,56,57,60,61,63,51,53,57,63,53,57,53,1,33,1
1,3,6,7,9,11,14,16,1,6,9,16,1,9,1,18,19,21,24,26,28,30,31,19,24,28,30,19,28,28,33,35,37,39,41,44,46,47,33,39,44,46,33,44,33,49,52,53,55,57,59,61,63,49,53,57,63,53,57,57,1,57,1
1,3,6,7,9,11,13,15,1,7,9,13,1,13,13,17,20,22,23,26,27,30,31,20,22,26,30,20,30,20,33,36,37,40,41,44,46,47,33,40,44,47,40,44,44,50,51,53,55,57,60,62,63,51,53,60,63,51,60,51,20,44,20
2,4,6,7,10,11,14,16,2,6,11,16,6,16,6,17,19,22,24,25,27,30,32,19,24,27,32,19,27,27,33,35,37,39,41,44,45,47,33,39,44,47,33,44,33,49,51,53,56,57,59,61,63,51,53,57,63,53,63,63,6,33,6
1,3,5,7,9,11,13,16,1,7,9,13,1,9,1,17,20,21,24,25,27,29,31,17,21,27,31,17,27,17,33,35,37,40,42,43,45,47,33,37,42,47,33,42,33,50,51,53,56,57,59,62,63,51,53,57,63,51,63,51,1,51,51
1,3,6,7,9,11,13,16,1,6,9,16,1,16,1,17,20,21,24,25,27,29,31,17,21,25,29,17,29,17,33,35,37,39,42,44,46,48,35,39,44,46,35,44,35,49,51,53,56,57,59,62,63,51,56,57,63,56,63,56,1,35,1
2,3,6,7,9,11,13,16,3,6,9,13,6,9,9,17,20,21,23,25,27,30,31,17,21,25,30,17,25,25,33,35,37,40,41,44,46,48,35,37,44,48,35,44,35,49,51,53,55,58,60,62,63,51,53,58,63,53,63,53,9,35,9
1,4,6,7,9,11,13,15,1,7,11,15,1,11,1,17,19,21,24,25,28,29,31,19,21,25,29,21,25,21,33,35,37,39,41,44,45,47,33,39,44,45,33,44,44,49,52,53,55,58,60,61,63,52,55,58,63,52,58,58,1,44,44
1,3,6,7,9,11,13,15,1,6,11,13,6,11,6,17,20,21,23,25,27,29,31,17,21,27,31,17,27,27,33,35,37,40,41,44,46,47,33,37,44,46,37,44,37,49,51,53,55,58,59,62,63,51,53,58,63,51,63,51,6,51,6
1,4,6,7,9,11,13,15,1,6,9,13,1,13,1,17,20,22,23,26,28,29,31,17,22,28,31,17,28,17,33,35,37,39,42,44,45,47,33,39,44,45,33,44,33,50,51,53,56,57,59,62,63,50,53,57,63,53,63,53,1,53,53
1,4,6,8,9,11,13,16,1,8,11,16,1,11,11,17,20,21,24,26,28,29,31,17,21,28,29,17,29,17,33,35,38,39,41,44,45,48,33,38,44,45,33,44,33,49,51,53,56,57,59,61,63,51,53,57,63,51,63,51,17,33,33
1,3,6,7,9,11,14,15,1,6,11,14,1,11,1,17,20,21,24,26,28,29,31,17,24,26,29,17,29,17,33,35,38,39,41,44,45,48,33,38,44,45,33,45,33,49,52,53,55,57,59,61,63,49,55,57,63,49,63,63,17,63,17
1,3,5,7,9,11,14,15,1,7,9,14,1,9,1,17,19,21,23,25,28,29,31,17,21,25,29,17,25,17,33,35,37,40,41,43,45,48,35,37,41,48,37,41,41,49,51,53,55,58,59,62,63,51,53,59,63,51,63,51,1,51,1
1,3,6,7,9,11,13,15,1,6,9,15,6,9,6,17,19,21,24,25,28,29,31,17,21,28,29,17,28,17,33,35,37,39,41,44,46,47,35,39,44,46,35,44,44,49,51,53,56,57,59,62,64,51,53,59,62,51,59,51,17,44,44
1,3,5,8,10,11,14,15,1,8,10,15,1,15,1,17,20,21,24,26,28,29,31,17,24,28,31,17,28,17,33,35,38,40,42,43,45,47,33,38,42,47,33,42,33,49,51,53,56,58,59,62,63,51,53,59,62,51,59,51,1,33,1
1,3,6,7,10,12,14,15,3,6,10,15,3,15,15,17,19,21,23,26,27,30,32,17,21,27,30,17,27,27,33,35,37,39,41,43,46,47,33,37,43,46,33,43,33,50,51,53,56,57,59,61,63,51,56,57,63,51,63,51,15,51,15
1,3,6,7,9,11,13,16,1,6,9,13,1,13,1,17,20,21,23,25,28,30,31,20,21,25,31,21,25,21,33,35,38,40,42,43,46,47,35,40,43,46,35,43,43,49,51,53,56,57,60,62,63,51,53,57,63,51,63,51,21,51,21
1,3,5,7,9,12,13,15,1,5,9,15,1,15,1,17,19,21,23,26,28,29,31,17,23,26,29,17,29,29,33,36,38,39,41,44,46,47,33,38,44,46,33,46,33,49,52,53,55,57,59,61,63,49,55,57,61,55,57,55,1,33,1
1,3,6,7,9,12,13,16,1,6,9,13,1,9,1,17,19,21,23,26,28,29,31,19,21,26,29,21,26,26,33,35,38,39,42,43,45,48,33,38,42,48,33,42,33,49,51,53,56,57,59,62,63,51,56,57,63,56,57,57,1,33,1
1,3,6,8,9,11,13,16,3,6,9,16,6,9,6,18,20,21,23,26,28,29,31,18,21,26,29,21,26,21,33,36,37,39,42,44,45,47,33,37,42,45,33,42,33,49,52,53,56,58,60,62,63,49,56,58,62,49,58,49,21,33,21
1,3,5,7,9,11,13,15,1,7,11,15,1,11,1,17,19,22,24,26,27,29,31,17,24,26,29,17,29,29,33,36,37,39,42,44,45,47,33,37,42,45,33,42,42,49,51,53,56,57,60,62,63,49,53,57,63,53,63,53,29,42,42
1,3,6,7,9,12,13,15,3,6,12,15,3,15,15,17,20,21,24,26,28,30,32,17,24,28,30,17,28,17,33,35,37,39,41,44,45,47,33,37,41,45,33,41,33,50,51,53,56,57,59,61,63,51,53,57,61,51,61,61,15,33,15
1,4,6,8,10,11,13,15,1,6,11,15,1,11,1,18,20,21,24,26,28,30,31,18,24,26,30,18,26,18,33,35,38,40,42,43,45,48,33,38,42,45,38,45,38,49,51,53,56,58,60,61,63,51,56,58,63,51,58,51,1,51,1
1,3,5,7,10,12,13,15,1,5,12,15,1,12,1,18,20,22,24,25,28,29,31,20,24,25,29,20,29,20,33,36,37,40,41,43,45,48,33,40,43,45,33,43,33,50,51,53,56,57,59,61,63,51,53,57,61,51,57,51,1,51,1
1,3,6,8,10,12,14,15,3,6,12,15,3,12,3,17,20,21,23,25,28,30,31,20,21,28,31,20,28,28,33,35,37,40,41,43,46,47,33,37,43,47,33,43,43,50,51,53,56,58,59,61,63,51,56,58,63,56,58,56,3,43,3
1,3,5,8,9,11,13,16,1,5,11,16,5,16,16,17,20,21,24,25,27,30,31,17,21,27,30,17,30,17,33,35,38,39,41,43,45,48,33,38,43,45,33,43,33,49,51,53,55,57,60,61,63,51,53,57,63,51,57,51,17,33,33
1,3,6,7,9,11,13,16,1,7,9,13,1,9,1,17,20,21,23,25,28,30,31,17,21,28,30,17,28,17,33,35,37,39,42,44,46,47,33,37,42,47,33,42,42,49,52,53,55,57,60,61,63,52,53,60,63,53,63,53,1,42,1
2,3,5,7,9,11,13,15,3,7,9,15,3,15,15,17,19,21,23,26,28,29,31,17,21,26,29,21,29,29,33,36,38,40,41,43,45,48,33,40,41,45,33,45,33,49,52,53,55,58,59,61,63,52,53,58,61,53,58,58,15,33,15
1,3,5,7,9,11,14,15,1,5,9,15,5,15,5,17,19,21,24,25,28,30,31,17,21,25,30,17,25,17,33,35,37,40,42,44,46,47,33,37,42,46,33,46,33,49,51,54,56,57,59,61,63,49,54,57,63,49,57,57,17,33,17
1,3,6,7,9,11,13,15,1,6,9,15,1,15,1,17,19,21,23,25,28,29,31,19,21,28,29,19,28,19,33,35,37,39,41,44,46,47,33,37,44,47,33,44,44,49,51,53,55,58,60,61,63,51,53,58,63,51,58,51,1,44,1
1,3,5,7,10,11,14,15,1,7,10,15,1,15,1,17,19,21,23,25,28,29,31,17,21,25,29,17,29,17,33,35,38,39,41,44,46,47,33,38,41,46,33,41,41,50,51,54,56,57,59,61,63,51,56,57,61,56,57,57,1,57,1
1,3,6,7,9,11,13,15,1,7,9,15,1,15,15,17,19,21,24,25,28,29,31,19,21,28,29,21,29,29,33,35,37,39,41,44,46,47,33,37,41,46,33,41,33,50,51,53,56,58,59,61,63,50,53,58,63,53,58,53,15,33,33
2,3,6,7,9,11,13,16,2,7,9,13,7,9,7,17,20,21,23,25,27,29,31,17,23,27,29,23,29,29,33,35,37,39,41,44,45,47,33,37,44,45,33,44,33,49,51,53,56,57,60,62,63,51,53,60,63,51,63,51,7,33,7
1,3,5,7,9,11,13,15,1,5,11,15,1,15,1,17,19,21,24,26,28,29,31,17,21,28,29,17,28,17,33,35,37,39,42,44,46,48,33,39,44,46,33,44,33,49,51,53,55,57,59,62,63,49,53,57,63,49,63,63,1,63,1
1,4,6,7,9,11,14,15,1,6,11,15,1,11,1,17,19,21,23,26,28,29,31,17,21,28,29,17,28,17,33,35,37,40,41,44,45,47,33,37,44,45,33,44,33,50,51,53,56,57,59,61,63,51,56,57,63,51,57,57,1,33,1
1,3,6,7,9,11,13,16,1,7,11,16,7,16,7,17,20,21,23,25,28,29,31,17,21,28,29,17,28,17,33,35,38,39,41,44,46,47,33,39,44,46,33,44,44,49,51,54,56,57,59,62,63,51,56,57,63,51,57,57,7,44,44
1,4,5,8,9,11,13,16,1,8,11,16,1,11,1,17,19,21,24,26,27,29,32,17,24,27,29,17,29,29,33,35,37,40,41,44,46,47,33,37,44,47,37,44,44,49,51,53,55,57,59,61,63,49,53,57,63,49,63,49,1,44,44
1,3,5,7,10,11,13,15,1,7,10,15,1,15,15,17,19,21,23,26,27,29,31,19,21,26,29,21,26,26,33,35,37,39,41,43,46,48,35,37,41,46,37,41,37,49,51,53,56,57,59,62,64,49,56,57,64,49,57,49,15,49,15
1,3,5,7,9,11,13,15,1,7,11,15,7,11,7,17,19,21,24,25,28,29,31,17,21,25,29,17,25,17,33,35,38,40,41,43,46,48,35,40,41,48,40,41,40,49,51,53,56,57,59,61,63,51,56,57,63,51,63,63,7,63,63
1,3,6,8,10,11,13,15,1,6,10,15,6,15,6,17,19,21,24,26,28,29,31,17,24,28,31,17,28,28,33,36,37,39,42,44,45,47,33,39,44,47,33,44,33,49,51,54,56,58,60,62,63,51,56,58,63,51,63,63,6,63,63
2,3,6,7,9,12,14,16,3,6,9,14,3,14,3,17,19,21,23,25,28,29,32,17,21,25,29,17,25,17,33,35,37,40,41,44,45,47,33,40,44,47,33,44,44,49,51,53,55,57,60,61,63,51,53,57,63,51,63,51,3,51,3
1,3,5,7,10,11,13,15,1,5,11,15,1,11,11,17,19,21,23,25,28,29,31,17,23,28,29,17,28,17,33,35,38,40,41,44,45,48,33,38,44,48,38,44,44,49,52,53,56,57,60,61,63,52,56,57,61,56,57,56,11,44,11
2,3,5,7,10,11,13,15,3,5,11,15,3,15,15,17,20,22,24,25,27,29,31,17,24,25,29,17,29,17,33,35,37,40,42,43,46,48,35,37,42,46,35,42,42,49,51,53,56,57,60,61,63,49,53,60,63,49,60,60,17,42,17
1,3,6,7,9,12,13,15,1,6,12,15,1,15,15,17,19,22,24,25,28,29,31,19,24,25,29,24,25,24,34,35,38,39,41,43,46,47,35,38,43,46,35,46,35,49,51,53,55,58,59,62,63,49,55,58,62,49,62,62,15,35,15
1,3,6,8,9,11,13,15,1,8,9,15,1,15,1,17,20,21,23,25,28,30,31,17,21,25,30,17,25,17,33,35,38,39,41,44,45,47,33,38,44,45,38,44,38,49,51,53,55,57,60,61,63,49,55,57,63,49,57,57,17,38,17
2,3,6,7,10,11,14,15,3,6,10,14,6,10,6,17,20,21,23,26,28,29,31,17,21,28,31,17,28,28,33,36,37,39,41,44,46,47,33,37,44,46,33,44,44,49,51,53,55,57,59,61,63,49,55,57,63,55,63,63,6,44,44
1,3,6,7,10,11,13,15,1,7,11,15,1,15,15,18,19,21,24,25,28,29,31,19,24,28,31,24,28,24,33,35,38,39,41,44,46,48,33,39,41,48,39,41,39,49,51,53,56,57,60,61,63,49,53,57,61,49,57,57,15,39,15
1,3,5,7,9,11,14,16,1,5,11,14,1,11,1,17,20,21,24,26,27,30,31,17,24,27,31,17,27,27,33,35,37,39,42,44,46,48,33,39,44,46,33,46,33,49,51,53,56,57,60,61,63,49,53,57,63,49,57,49,27,49,27
1,3,6,7,9,11,13,15,1,7,9,15,1,9,1,17,20,22,23,26,27,29,31,17,23,27,31,17,27,17,33,35,37,39,41,43,45,47,35,37,43,47,35,43,35,50,51,53,56,57,59,61,63,51,56,57,63,56,63,63,17,63,17
1,3,6,7,9,11,13,15,1,6,9,15,6,9,9,17,20,22,23,25,27,29,32,17,23,25,29,17,25,25,33,36,37,39,41,44,45,48,33,37,44,48,33,44,44,49,51,53,56,58,59,61,63,49,56,58,63,49,58,58,9,44,44
1,4,6,8,9,11,13,15,1,6,11,15,6,15,6,17,20,21,24,25,27,30,31,17,21,25,30,17,25,25,33,35,37,39,41,43,45,47,33,37,43,45,33,43,33,50,51,53,56,57,59,62,63,51,53,57,63,53,63,53,6,33,6
1,3,6,7,9,11,13,15,1,6,11,13,1,11,11,17,19,21,24,25,28,29,32,19,21,25,32,19,25,19,33,35,38,40,42,44,45,47,35,38,42,47,38,47,47,49,51,53,55,57,60,61,63,51,55,57,63,51,63,63,11,63,11
1,3,6,8,9,12,13,15,1,6,12,15,6,15,6,17,19,22,24,25,27,29,31,17,22,25,29,17,25,17,33,36,37,40,41,44,46,47,36,37,44,46,37,44,37,50,51,53,55,57,60,61,63,51,53,60,63,53,63,53,6,37,6
1,4,6,7,9,11,14,15,1,7,9,14,1,9,1,17,20,21,24,26,27,29,31,17,21,27,29,21,29,29,33,35,37,39,41,43,46,47,35,37,43,46,35,46,35,49,51,53,55,58,59,61,63,51,53,58,63,51,58,51,1,51,1
1,3,6,8,9,11,13,15,1,6,9,13,1,13,13,17,19,22,24,26,28,30,31,17,24,28,30,17,28,28,33,36,38,40,41,44,46,47,33,38,44,47,38,44,38,49,51,53,55,58,59,61,63,51,53,58,63,51,63,51,13,51,51
1,3,5,8,9,11,14,15,1,8,11,15,1,15,1,17,20,22,24,25,28,29,31,17,22,25,29,17,29,17,33,36,38,40,41,44,46,48,36,38,44,46,38,44,44,49,51,53,56,57,60,61,63,51,56,57,63,51,63,51,17,44,17
1,3,6,7,9,11,14,15,1,7,11,15,1,15,1,17,19,21,23,25,28,29,31,17,21,25,29,17,29,17,33,35,38,39,42,44,46,47,33,38,42,46,33,42,33,49,51,53,55,57,60,61,63,51,53,60,63,53,63,53,1,33,1
1,3,6,7,9,11,13,15,1,6,9,13,1,9,9,17,19,22,23,26,28,29,31,17,22,28,29,17,28,17,33,35,37,39,41,44,45,47,33,39,41,47,33,47,33,49,51,53,56,57,59,62,63,49,53,59,63,49,63,63,17,33,33
1,3,6,7,9,11,13,15,3,6,9,15,3,15,15,17,20,21,23,25,27,30,31,20,21,25,30,20,25,20,33,36,37,39,41,44,46,47,33,37,41,46,33,41,33,50,51,53,56,58,60,61,63,51,53,60,61,51,61,51,20,33,33
1,3,6,7,10,11,13,15,1,7,10,15,7,10,7,17,20,21,23,25,27,30,31,17,21,25,30,17,30,17,33,35,38,39,41,44,45,47,35,38,41,45,38,45,38,49,51,53,55,58,60,62,63,49,53,58,63,49,63,63,17,63,17
1,3,6,7,9,12,13,15,1,6,9,15,6,15,15,17,19,22,23,26,27,30,31,17,23,26,31,17,31,17,33,35,37,39,41,43,45,47,33,37,43,47,33,43,33,49,51,53,55,58,59,61,63,49,53,58,63,49,58,49,15,33,15
1,3,6,7,9,11,13,15,1,6,9,13,1,9,1,18,19,21,23,26,28,30,32,18,21,28,30,21,28,21,33,35,38,39,41,44,45,48,33,38,41,45,33,41,41,49,52,53,55,57,59,62,63,49,53,57,63,49,57,57,1,41,1
1,3,5,8,10,12,13,15,1,8,12,13,8,12,8,17,19,21,23,26,28,29,31,17,21,28,29,17,28,17,33,35,38,40,41,44,46,47,33,38,44,46,33,44,44,49,51,53,55,58,59,62,63,51,53,59,63,53,63,53,8,44,44
2,3,5,7,10,11,13,15,3,7,11,15,7,15,7,17,19,21,24,26,28,29,31,19,21,26,29,19,29,19,33,35,38,40,42,44,45,48,33,38,44,45,38,44,44,49,51,53,55,57,59,62,63,51,53,57,63,51,57,57,7,44,44
1,3,6,8,10,11,13,15,1,6,11,15,1,11,1,17,19,21,23,26,28,29,31,19,21,28,29,21,28,21,33,35,37,39,41,43,46,48,33,37,43,48,37,43,43,49,51,54,56,58,60,62,63,51,56,58,63,51,58,51,21,43,21
1,3,6,7,9,12,13,16,1,6,9,13,1,13,1,17,19,21,24,25,27,29,31,19,21,25,29,19,25,19,33,36,37,39,42,44,45,48,33,39,44,45,33,44,33,49,51,53,56,57,59,62,63,49,53,57,63,49,57,57,1,33,1
1,3,5,8,9,11,14,15,1,8,9,14,1,9,1,17,20,22,24,25,27,30,31,17,24,25,30,17,30,17,33,35,38,40,41,44,45,47,33,40,44,47,33,44,33,49,51,53,55,57,59,62,63,51,53,59,63,51,63,51,1,51,1
1,4,5,7,9,11,13,15,1,7,11,15,1,15,15,17,20,22,24,26,27,30,31,17,24,26,31,17,31,17,33,35,37,40,42,44,46,47,35,40,44,47,35,44,44,49,52,53,55,57,60,61,63,52,53,57,63,53,63,63,17,63,17
1,3,6,8,9,11,13,15,1,6,9,15,6,15,15,17,19,21,24,26,28,29,31,17,21,28,29,17,29,17,33,35,37,39,41,43,46,47,35,39,41,47,35,47,35,49,51,53,56,57,59,61,63,49,56,57,61,49,57,49,15,49,15
1,3,5,7,9,11,13,16,1,5,9,13,1,9,1,17,19,22,23,25,28,29,31,17,22,25,29,17,25,17,33,36,37,39,42,44,45,47,33,37,44,45,33,44,33,50,51,53,56,57,59,62,63,51,56,57,63,51,57,51,1,51,51
1,3,6,8,9,11,13,15,1,6,11,15,1,11,1,17,19,21,23,25,27,30,31,17,21,25,30,17,30,17,33,36,38,40,41,44,46,48,33,38,41,46,38,41,38,49,51,53,56,58,59,61,63,49,53,59,63,49,63,49,1,49,1
1,3,5,7,9,12,13,15,1,5,12,15,1,15,1,17,19,21,24,25,28,29,31,19,21,25,29,21,25,25,33,35,37,40,42,44,45,48,33,37,44,48,33,44,33,50,51,53,56,57,60,62,63,51,53,60,62,51,60,51,1,51,1
1,3,6,7,9,11,14,15,1,6,9,15,1,15,1,17,19,21,23,25,28,29,31,17,21,28,29,17,28,17,33,36,38,39,41,44,45,47,33,38,44,45,33,44,33,49,51,53,56,58,59,62,63,49,56,58,62,49,58,49,1,33,33
1,3,6,7,9,11,13,15,1,6,11,15,6,15,15,17,20,22,23,26,28,29,31,17,22,28,29,22,28,22,33,36,37,39,41,44,45,47,33,37,41,47,33,41,33,50,51,54,56,57,59,61,63,50,54,57,63,50,57,57,15,33,15
1,3,6,7,9,11,14,15,3,6,9,15,3,9,3,17,19,21,24,26,28,30,31,17,21,28,31,17,28,17,33,35,38,40,41,43,46,48,33,38,41,46,33,41,41,49,51,53,55,57,59,62,63,51,53,59,63,51,63,51,17,41,17
1,3,5,7,9,11,13,15,1,7,11,15,1,11,1,17,19,22,24,25,27,29,32,19,24,25,29,24,25,25,33,35,37,39,41,44,45,48,33,37,44,45,33,44,33,49,51,53,55,58,59,61,63,51,53,58,63,51,63,51,1,33,1
1,3,5,7,10,11,14,15,1,7,11,14,1,11,1,17,19,22,23,25,27,29,31,17,23,27,31,17,27,17,33,35,37,39,41,43,45,47,33,37,41,45,33,41,33,49,51,53,56,57,59,62,64,49,56,57,64,56,57,56,1,33,1
1,3,6,8,9,12,13,15,1,8,9,15,1,9,1,17,20,22,23,25,28,29,32,20,22,28,29,20,28,20,33,35,37,40,41,44,46,48,33,37,44,46,37,44,44,49,51,54,56,57,59,62,63,51,56,57,62,51,57,51,1,44,1
1,3,6,8,10,11,13,15,3,6,10,15,6,15,6,17,20,21,24,25,28,30,31,17,21,25,30,17,25,17,33,36,37,40,41,43,46,48,33,37,41,46,33,41,33,49,51,53,55,58,59,61,63,51,53,59,61,51,59,51,6,33,6
1,3,5,7,10,11,14,16,1,5,10,16,1,16,1,17,19,21,24,26,27,29,31,17,24,27,31,17,31,31,33,35,38,40,41,44,45,47,33,38,41,45,33,41,33,49,51,53,56,57,59,61,63,51,56,59,63,51,63,63,1,33,1
1,3,5,7,9,12,13,15,1,5,9,15,1,9,1,18,19,21,23,25,28,29,31,19,21,28,29,21,28,21,33,35,38,39,41,44,46,48,33,39,44,46,33,44,44,49,52,53,56,58,59,62,63,52,56,58,63,56,63,63,21,44,44
1,3,5,7,9,11,13,15,1,7,9,15,1,15,1,17,19,22,23,26,27,29,31,19,23,27,29,23,27,27,33,35,37,39,42,44,46,48,35,39,42,46,39,46,46,50,52,53,55,58,60,62,63,52,53,58,63,53,58,53,1,53,1
1,3,5,8,10,11,13,15,1,8,11,15,1,15,15,17,20,22,23,25,28,30,31,17,23,28,30,23,28,28,33,35,37,39,41,44,45,48,33,39,41,45,33,45,33,50,51,53,56,58,60,62,63,51,53,58,63,53,63,63,15,33,15
1,4,5,7,9,11,14,15,4,7,9,15,7,15,7,18,20,21,23,25,27,29,31,18,21,25,29,18,25,25,33,35,38,39,41,44,46,48,33,39,44,46,33,44,33,49,52,53,56,58,60,62,63,52,56,58,63,56,58,58,7,58,7
1,4,6,7,9,12,13,15,4,7,12,13,4,12,12,17,19,21,24,26,27,29,32,17,21,26,29,21,29,21,33,35,38,40,41,44,46,47,35,38,44,47,35,44,44,49,51,53,55,57,60,62,63,49,53,57,63,53,63,53,12,44,44
1,3,6,7,9,12,13,15,3,7,12,15,3,12,12,17,19,21,23,26,28,29,31,17,21,28,31,17,31,17,33,35,38,40,41,43,45,48,33,38,41,45,38,41,38,50,51,53,56,57,59,61,63,50,56,57,63,56,63,63,17,63,63
1,3,6,7,9,11,14,15,1,6,9,14,1,9,1,17,20,21,23,26,28,29,31,17,21,26,29,17,26,17,33,35,38,40,42,44,45,47,33,38,44,47,33,44,33,49,51,53,56,57,59,61,63,49,53,57,61,49,61,49,1,33,33
1,4,6,7,9,12,13,15,1,7,9,15,1,15,1,17,19,22,23,25,28,30,32,17,23,28,32,23,28,23,33,35,38,39,41,44,46,48,33,38,44,48,33,44,44,49,51,53,55,57,59,61,63,51,53,57,61,51,57,51,1,44,1
1,3,5,7,10,11,13,15,1,7,11,13,1,11,1,17,19,21,23,25,28,29,31,17,21,28,29,21,28,28,33,36,37,39,42,44,46,47,33,37,44,46,33,46,33,49,51,53,56,57,59,62,63,49,56,57,62,49,57,57,1,33,33
2,3,6,7,9,11,14,16,2,6,9,14,6,9,6,17,19,21,24,26,27,30,31,17,21,27,30,17,30,17,33,35,37,39,41,44,45,47,33,37,44,47,33,44,33,50,51,53,55,57,59,61,63,51,53,57,63,51,57,57,6,33,6
1,3,5,8,9,11,13,15,1,8,9,15,1,15,1,17,19,22,23,25,28,30,32,17,23,25,30,17,30,17,33,36,38,39,42,44,46,47,33,38,44,46,33,44,33,50,52,53,56,57,60,62,63,50,53,60,63,53,63,53,1,33,1
1,4,6,7,10,11,13,15,1,6,11,15,6,11,11,17,20,21,24,25,27,30,32,20,21,25,32,20,32,20,33,35,37,39,42,44,46,48,33,37,44,48,33,44,33,49,51,53,56,58,60,61,63,51,53,58,63,51,63,63,20,33,20
1,3,6,8,9,11,14,16,3,6,11,14,6,11,6,17,19,21,24,25,27,29,31,19,21,27,29,21,27,27,33,35,38,39,41,43,45,48,33,38,41,45,33,45,33,49,51,53,56,57,60,62,63,49,56,60,62,49,62,49,6,49,6
1,3,6,7,9,11,13,15,3,6,11,15,6,15,6,17,20,21,23,25,28,29,31,17,23,28,29,17,29,17,33,35,37,39,41,44,46,48,33,37,44,48,33,44,44,49,51,53,56,57,59,61,63,49,53,57,63,53,63,53,6,44,6
1,3,6,7,10,11,13,15,1,6,10,15,1,10,1,17,20,21,23,25,28,30,31,20,21,28,31,20,28,20,33,35,37,40,41,44,46,47,35,37,44,46,35,44,35,50,51,54,56,57,60,62,63,50,56,57,63,56,63,63,1,63,1
1,3,6,7,9,11,14,15,1,6,9,15,1,15,15,17,20,21,23,26,28,29,31,20,23,28,29,20,29,20,33,36,37,39,42,43,46,47,33,37,42,46,33,46,33,50,51,53,56,57,59,62,63,51,56,57,63,51,63,51,15,51,15
1,3,5,8,9,11,13,15,1,5,11,13,1,13,1,17,20,21,23,25,27,30,31,20,23,25,31,20,25,20,33,35,37,39,41,44,46,47,35,37,41,46,35,46,35,49,51,53,55,57,59,62,63,51,55,57,63,51,57,51,20,51,51
1,4,6,7,10,11,14,15,1,6,10,15,6,15,15,17,19,21,24,26,27,30,32,17,21,26,32,17,26,17,33,35,37,40,41,43,45,47,33,40,41,45,40,41,41,49,52,53,56,58,59,61,63,49,53,58,63,49,58,49,15,49,15
1,3,6,7,9,12,13,15,1,6,9,15,1,15,1,17,19,21,23,26,27,30,31,17,21,27,30,17,27,17,33,36,37,40,42,43,46,47,33,37,42,47,37,42,42,49,51,53,55,57,60,62,63,49,53,57,63,53,63,63,17,42,42
